date,views_youtube,views_tiktok
2020-11-30 00:00:00+00:00,,8665146.391752576
2020-12-31 00:00:00+00:00,,9090464.779874213
2021-01-31 00:00:00+00:00,,8071630.188679245
2021-02-28 00:00:00+00:00,,7259313.1147540985
2021-03-31 00:00:00+00:00,,10462182.87671233
2021-04-30 00:00:00+00:00,,10843407.575757576
2021-05-31 00:00:00+00:00,,9459247.297297297
2021-06-30 00:00:00+00:00,,10083376.923076924
2021-07-31 00:00:00+00:00,,11842021.088435374
2021-08-31 00:00:00+00:00,,11371974.834437085
2021-09-30 00:00:00+00:00,3574506.2786458335,10978309.900990099
2021-10-31 00:00:00+00:00,4671944.428571428,15144976.0
2021-11-30 00:00:00+00:00,3637151.9487179485,14692584.158415841
2021-12-31 00:00:00+00:00,2369279.5757575757,9774681.308411215
2022-01-31 00:00:00+00:00,2428793.3492063493,10943684.137931034
2022-02-28 00:00:00+00:00,1000889.4038461539,9824981.343283582
2022-03-31 00:00:00+00:00,1954227.9928571428,8353985.365853659
2022-04-30 00:00:00+00:00,2263635.843137255,9435055.494505495
2022-05-31 00:00:00+00:00,929032.4903225807,10271245.87628866
2022-06-30 00:00:00+00:00,1327507.9526066352,9814407.17948718
2022-07-31 00:00:00+00:00,929053.2844827586,9479471.038251366
2022-08-31 00:00:00+00:00,398226.2247191011,7146032.777777778
2022-09-30 00:00:00+00:00,127315.9675,3999355.0
